,date,code_insee_region,region,tmin,tmax,tmoy,annee,mois
21702,2020-06-10,52,Pays de la Loire,10.15,18.55,14.35,2020,6
21703,2020-06-11,27,Bourgogne-Franche-Comté,10.85,22.87,16.86,2020,6
21704,2020-06-11,52,Pays de la Loire,11.85,17.3,14.58,2020,6
21705,2020-06-12,52,Pays de la Loire,12.15,20.1,16.12,2020,6
21706,2020-06-12,53,Bretagne,11.4,18.35,14.88,2020,6
21707,2020-06-12,75,Nouvelle-Aquitaine,9.38,20.92,15.15,2020,6
21708,2020-06-13,52,Pays de la Loire,11.9,20.4,16.15,2020,6
21709,2020-06-13,32,Hauts-de-France,11.54,24.32,17.93,2020,6
21710,2020-06-13,93,Provence-Alpes-Côte d'Azur,15.18,20.75,17.97,2020,6
21711,2020-06-13,53,Bretagne,9.68,19.23,14.45,2020,6
21712,2020-06-13,84,Auvergne-Rhône-Alpes,10.83,20.58,15.7,2020,6
21713,2020-06-14,11,Île-de-France,12.56,22.62,17.59,2020,6
21714,2020-06-14,52,Pays de la Loire,13.35,21.0,17.18,2020,6
21715,2020-06-14,44,Grand Est,12.75,21.42,17.09,2020,6
21716,2020-06-14,93,Provence-Alpes-Côte d'Azur,12.27,25.08,18.68,2020,6
21717,2020-06-15,75,Nouvelle-Aquitaine,12.51,21.06,16.78,2020,6
21718,2020-06-15,53,Bretagne,11.6,19.53,15.56,2020,6
21719,2020-06-15,84,Auvergne-Rhône-Alpes,10.63,22.38,16.5,2020,6
21720,2020-06-15,32,Hauts-de-France,12.48,22.8,17.64,2020,6
21721,2020-06-16,76,Occitanie,13.93,22.69,18.31,2020,6
21722,2020-06-16,44,Grand Est,11.59,23.11,17.35,2020,6
21723,2020-06-16,27,Bourgogne-Franche-Comté,11.95,22.98,17.47,2020,6
21724,2020-06-16,11,Île-de-France,13.52,23.16,18.34,2020,6
21725,2020-06-17,76,Occitanie,12.57,22.35,17.46,2020,6
21726,2020-06-17,52,Pays de la Loire,11.35,20.5,15.92,2020,6
21727,2020-06-17,11,Île-de-France,13.24,20.94,17.09,2020,6
21728,2020-06-17,75,Nouvelle-Aquitaine,12.65,20.08,16.37,2020,6
21729,2020-06-18,76,Occitanie,12.02,22.15,17.09,2020,6
21730,2020-06-18,52,Pays de la Loire,11.1,20.15,15.62,2020,6
21731,2020-06-19,53,Bretagne,12.03,18.52,15.28,2020,6
21732,2020-06-20,76,Occitanie,12.94,26.79,19.86,2020,6
21733,2020-06-20,27,Bourgogne-Franche-Comté,11.47,23.78,17.62,2020,6
21734,2020-06-20,24,Centre-Val de Loire,10.73,23.55,17.14,2020,6
21735,2020-06-21,27,Bourgogne-Franche-Comté,10.62,25.02,17.82,2020,6
21736,2020-06-22,53,Bretagne,9.72,22.08,15.9,2020,6
21737,2020-06-23,27,Bourgogne-Franche-Comté,11.7,29.47,20.58,2020,6
21738,2020-06-23,24,Centre-Val de Loire,11.2,29.95,20.58,2020,6
21739,2020-06-23,75,Nouvelle-Aquitaine,13.79,30.04,21.92,2020,6
21740,2020-06-24,75,Nouvelle-Aquitaine,17.08,32.27,24.68,2020,6
21741,2020-06-24,32,Hauts-de-France,15.34,31.56,23.45,2020,6
21742,2020-06-24,76,Occitanie,16.45,30.87,23.66,2020,6
21743,2020-06-24,11,Île-de-France,16.78,32.36,24.57,2020,6
21744,2020-06-24,53,Bretagne,14.2,29.4,21.8,2020,6
21745,2020-06-25,27,Bourgogne-Franche-Comté,16.45,32.63,24.54,2020,6
21746,2020-06-25,84,Auvergne-Rhône-Alpes,16.16,31.63,23.9,2020,6
21747,2020-06-26,32,Hauts-de-France,17.2,27.9,22.55,2020,6
21748,2020-06-26,53,Bretagne,15.35,20.0,17.67,2020,6
21749,2020-06-27,94,Corse,16.9,27.55,22.22,2020,6
21750,2020-06-27,24,Centre-Val de Loire,16.08,24.65,20.37,2020,6
21751,2018-02-15,52,Pays de la Loire,6.65,12.5,9.57,2018,2
21752,2018-02-16,28,Normandie,-0.5,9.0,4.25,2018,2
21753,2018-02-16,24,Centre-Val de Loire,3.35,9.58,6.47,2018,2
21754,2018-02-17,27,Bourgogne-Franche-Comté,3.9,6.83,5.37,2018,2
21755,2018-02-18,94,Corse,7.5,14.95,11.23,2018,2
21756,2018-02-18,32,Hauts-de-France,-1.68,9.24,3.78,2018,2
21757,2018-02-19,75,Nouvelle-Aquitaine,5.87,10.48,8.18,2018,2
21758,2018-02-19,11,Île-de-France,-0.0,5.66,2.83,2018,2
21759,2018-02-19,53,Bretagne,8.78,10.9,9.84,2018,2
21760,2018-02-19,93,Provence-Alpes-Côte d'Azur,3.1,11.95,7.52,2018,2
21761,2018-02-19,76,Occitanie,3.51,11.03,7.27,2018,2
21762,2018-02-20,93,Provence-Alpes-Côte d'Azur,2.72,11.45,7.08,2018,2
21763,2018-02-20,24,Centre-Val de Loire,5.35,7.6,6.48,2018,2
21764,2018-02-20,52,Pays de la Loire,8.65,12.0,10.32,2018,2
21765,2018-02-21,11,Île-de-France,-0.38,4.7,2.16,2018,2
21766,2018-02-22,11,Île-de-France,-1.94,4.74,1.4,2018,2
21767,2018-02-22,52,Pays de la Loire,-1.55,6.75,2.6,2018,2
21768,2018-02-22,93,Provence-Alpes-Côte d'Azur,0.9,8.82,4.86,2018,2
21769,2018-02-22,75,Nouvelle-Aquitaine,-1.29,7.12,2.92,2018,2
21770,2018-02-23,11,Île-de-France,-2.44,3.8,0.68,2018,2
21771,2018-02-23,24,Centre-Val de Loire,-2.08,3.6,0.76,2018,2
21772,2018-02-24,32,Hauts-de-France,-3.06,5.72,1.33,2018,2
21773,2018-02-24,94,Corse,7.15,11.6,9.38,2018,2
21774,2018-02-25,84,Auvergne-Rhône-Alpes,-2.6,2.61,0.0,2018,2
21775,2018-02-25,76,Occitanie,1.05,11.15,6.1,2018,2
21776,2018-02-25,27,Bourgogne-Franche-Comté,-4.05,3.07,-0.49,2018,2
21777,2018-02-25,75,Nouvelle-Aquitaine,-1.91,7.72,2.9,2018,2
21778,2018-02-25,53,Bretagne,-1.17,6.75,2.79,2018,2
